id,biz_name,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
13879,Liberal Country Club,,,,,,,,
13881,Lindsborg Golf Course,,https://www.lindsborgcity.org/,,,,,,
13883,"Club of the Country, The","South Africa's top rated golf course, Durban Country Club is a prestigious private club with a very colonial air. The course is both scenic and demanding and to score well here, you will have to be playing your best. Some of the fairways are characterised by weird undulations, reminiscent of the great Scottish links courses. The foliage on the course is breathtaking, with virtually every tropical plant imaginable creating a colourful scented backdrop to your round.Location: The golf course is situated only 5 kilometres from Durban City Centre.Unique Selling Points:- Championship Course- Designed by George Waterman and LB Walters- Redesigned by Gary Player",https://durbancountryclub.co.za/,,,,,,
13884,Lyons Town & Country Club,,,,,,,,
13887,Manhattan Country Club,,https://www.themanhattancountryclub.com/,,,,,,
13888,Stagg Hill Golf Club,,https://www.stagghillgolfclub.com/,,,,,,
13890,Marion Country Club,,https://www.marioncountryclub.com/,,,,,,
13891,Marysville Country Club,,https://www.facebook.com/MarysvilleCountryClub/,,,,,,
13892,Twin Lakes Golf Course,,https://golf-twinlakes.com/index.html#/,,,,,,
13893,McPherson Country Club,,,,,,,,
13894,Rolling Acres Golf Course,,http://rollingacresgolfcourseclub.com/,,,,,,
13896,Medicine Lodge Golf Club,,https://www.facebook.com/MedicineLodgeGolfCourse/,,,,,,
13898,Indian Hills Country Club,,https://www.ihcckc.com/,,,,,,
13899,Kansas City Country Club,,https://www.kccc.com/,,,,,,
13900,Mission Hills Country Club,,https://www.missionhillscc.com/,,,,,,
13901,Sunny Meadows Golf Course,,,,,,,,
13902,Sugar Valley Lakes Homes Association,,https://www.sugarvalleyhiddenvalleylakes.com/,,,,,,
13903,Indian Plains Golf Course,,,,,,,,
13904,Fox Ridge,,https://www.foxridgegc.com/lander,,,,,,
13906,Prairie Dog Golf Course,,https://www.facebook.com/PDGCNortonKS/,,,,,,
13907,Oakley Country Club,,https://www.facebook.com/oakleycountrycluboakleykansas,,,,,,
13911,Shadow Glen the Golf Club,,https://www.shadowglen.org/,,,,,,
13912,Wolf Creek Golf Club,,https://www.golfatwolfcreek.com/,,,,,,
13914,Osage City Country Club,,https://www.osagecity.com/,,,,,,
13917,Ottawa Country Club,,https://greatlifegolf.com/ottawa,,,,,,
13920,West Nine Course at Brookridge Country Club,,,,,,,,
13921,Deer Creek Golf Club,,https://www.deercreekgolfcourse.com/,,,,,,
13922,Milburn Country Club,,https://milburn.org/,,,,,,
13923,Nicklaus Golf Club,,https://www.invitedclubs.com/clubs/nicklaus-golf-club-at-lionsgate,,,,,,
13927,Paola Country Club,,https://paolacountryclub.com/,,,,,,
13928,Parsons Country Club,,,,,,,,
13929,Parsons-Katy Golf Club,,https://www.facebook.com/katygolfcourse,,,,,,
13930,Phillipsburg Golf Course,,http://phillipsburggolf.com/,,,,,,
13932,Crestwood Country Club,,http://www.countryclubatcrestwood.com/,,,,,,
13935,Cedar Links Country Club,,,,,,,,
13936,Meadowbrook Golf & Country Club,,https://www.hartleymeadowbrookgolf.com/,,,,,,
13938,Park Hills Golf & Supper Club,,https://www.facebook.com/ParkHillsGolfClub,,,,,,
13941,Sabetha Golf & Country Club,,https://www.sabethagolfclub.com/,,,,,,
13942,Riverside Recreation Association,,,,,,,,
13944,Osage Hills Golf Course,,,,,,,,
13945,Elks Country Club,,http://www.elksclubportsmouth.com/,,,,,,
13946,Salina Country Club,,https://salinacountryclub.com/,,,,,,
13950,Sedan Country Club,,http://sedangolf.com/,,,,,,
13952,Sharon Springs Golf Course,,,,,,,,
13955,Smith Center Country Club,,,,,,,,
13957,Stafford County Country Club,,https://www.facebook.com/Golfstafford/,,,,,,
13960,Berkshire Country Club,,https://www.berkshirecountryclub.org/,,,,,,
13962,Lake Perry Country Club,,,,,,,,
13964,Shawnee Country Club,,https://www.shawneecountryclub.com/,,,,,,
13965,Prairie View Country Club,,,,,,,,
13968,Topeka Country Club,,https://www.topekacc.org/,,,,,,
13969,Western Hills Golf Club,,https://greatlifegolf.com/westernhills,,,,,,
13971,Lamont Hill Resort,,https://lamonthilltest.weebly.com/,,,,,,
13972,Big Creek Golf Course,,,,,,,,
13973,Wamego Country Club,,https://www.hugedomains.com/domain_profile.cfm?d=wamegogolf.com,,,,,,
13977,Braeburn Golf Club at WSU,,,,,,,,
13978,North Course at Crestview Country Club,,,,,,,,
13984,Reflection Ridge Golf Club,,https://reflectionridgegolf.com/,,,,,,
13985,Rolling Hills Country Club,,https://www.rollinghillscabot.com/,,,,,,
13987,Tallgrass Country Club,,https://tallgrassgolfclub.com/,,,,,,
13988,Wichita Country Club,,https://www.wichitacountryclub.org/,,,,,,
13989,Willowbend Golf Club,,https://willowbendgolfclub.com/,,,,,,
13991,Winfield Country Club,,https://www.winfieldcountryclub.com/,,,,,,
13993,Ackley Country Club,,https://ackleyrecclub.com/,,,,,,
13995,Hillcrest Golf & Country Club,,https://hillcrestyankton.com/,,,,,,
13997,Lakeshore Golf & Country Club,,https://www.aftoniowa.com/lakeshore-golf,,,,,,
13998,Akron Golf Course,,https://www.akronia.org/,,,,,,
13999,Albia Golf & Country Club,,,,,,,,
14000,River Road Golf Club,,,,,,,,
14001,Algona Country Club,,,,,,,,
14002,Alta Golf & Country Club,,https://www.facebook.com/AltaGolfClub/,,,,,,
14004,Sioux Golf & Country Club,,http://www.siouxgolfandcountryclub.com/,,,,,,
14007,Ames Golf & Country Club,,https://www.amesgolfcc.com/,,,,,,
14011,Fawn Creek Country Club,,http://www.fawncreekcc.com/,,,,,,
14013,Crestwood Hills Golf Course,,https://www.anitagolf.com/,,,,,,
14015,Ankeny Golf & Country Club,,https://ankenygolf.com/,,,,,,
14021,Atlantic Golf & Country Club,,https://theagcc.com/,,,,,,
14022,Nishna Hills Golf Club,,http://nishnahills.com/,,,,,,
14023,Audubon Golf & Country Club,,http://golfaudubon.com/,,,,,,
14024,Aurelia Golf Club,,https://aureliaia.com/Aurelia_Golf_Club_Inc.htm,,,,,,
14028,Belle Plaine Country Club,,http://belleplainecc.com/,,,,,,
14029,Bellevue Golf Club,,https://www.bellevueiagolfclub.com/,,,,,,
14030,Belmond Country Club,,https://www.facebook.com/bcc.golf,,,,,,
14034,Bloomfield Country Club,,https://bloomfieldcountryclub.com/,,,,,,
14035,Boone Golf & Country Club,,,,,,,,
14037,Britt Country Club,,https://www.hugedomains.com/domain_profile.cfm?d=brittgolf.com,,,,,,
14038,Brooklyn-Victor Country Club,,https://www.brooklyniowa.com/,,,,,,
14041,Burlington Golf Club,,http://www.bgciowa.com/,,,,,,
14044,Wapsi Oaks Country Club,,,,,,,,
14045,South Winn Golf & Country Club,,http://southwinncountryclub.com/,,,,,,
14046,Carroll Country Club,,https://carrollnational.golf/,,,,,,
14050,Beaver Hills Country Club,,https://beaverhills.com/,,,,,,
14053,Cedar Rapids Country Club,,https://www.cedarrapidscc.com/,,,,,,
