id,biz_name,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
16376,St. James Golf Club,,,,,,,,
16378,St. Joseph Country Club,,https://stjosephcountryclub.com/,,,,,,
16381,Stephens College Country Club,,,,,,,,
16382,Castlewoods Golf Club -The Bear,,https://castlewoodscountryclub.com/,,,,,,
16384,Sullivan Country Club,,https://www.facebook.com/sullivancountryclub,,,,,,
16385,Sullivan County Country Club,,,,,,,,
16386,Benona Shores Golf Course,,,,,,,,
16388,Sunset Country Club,,https://www.sunsetcountryclub.org/,,,,,,
16393,Taneycomo Golf Club,,,,,,,,
16397,Tarkio Golf Club,,https://tarkiogolfclub.com/,,,,,,
16399,Terre Du Lac Golf Club -Skyview,,https://tdlcountryclub.com/,,,,,,
16400,Thayer Country Club,,,,,,,,
16401,Thousand Hills Resort & Golf Club,,https://www.thousandhills.com/branson-golf/,,,,,,
16404,Timber Ridge Golf Course,,https://www.thetimberridge.com/,,,,,,
16406,Tipton Country Club,,,,,,,,
16407,Top Of The Rock Golf Course,,https://bigcedar.com/golf/top-of-the-rock-course/,,,,,,
16408,Top Of The Rocks Golf Course,,,,,,,,
16411,Tri-City Country Club,,https://tricitycc.com/,,,,,,
16412,"Triple \A\"" Golf & Tennis Club""",,,,,,,,
16413,Twin Hills Country Club,,https://www.twinhillscc.com/,,,,,,
16415,Twin Oaks Country Club,,https://www.twinoakscountryclub.com/,,,,,,
16416,Twin Pines Country Club,,,,,,,,
16417,Union Hills Golf Course,Formerly known as Union Hills Golf Course,https://www.oakvalleygolfcourse.com/,,,,,,
16418,Unionville Country Club,,,,,,,,
16419,Unity Village Country Club,,,,,,,,
16420,Clarksdale Country Club,,http://www.clarksdalecountryclub.com/,,,,,,
16423,Vandalia Country Club,,,,,,,,
16426,Wedgewood Country Club,,http://wedgewoodcc.com/,,,,,,
16427,Wentworth Country Club,,https://www.wfcc.com.au/cms/,,,,,,
16428,West Branson Bluffs Resort,,,,,,,,
16429,West Plains Country Club,,,,,,,,
16431,Westborough Country Club,,https://www.westboroughcc.com/,,,,,,
16432,Westwood Country Club,,https://www.westwoodcountryclub.org/,,,,,,
16433,Westwood Hills Country Club,,https://www.westwoodhillscountryclub.com/,,,,,,
16434,Whitmoor Country Club -North,,https://whitmoorcc.com/,,,,,,
16435,Willow Springs Municipal Golf Course,,https://willowspringsmo.com/151/Golf-Course,,,,,,
16437,Winghaven Country Club,,https://www.winghavencc.com/,,,,,,
16440,Woods Fort Country Club,,https://shadowwoodcc.com/shadow-wood-preserve,,,,,,
16441,Cleveland Country Club,,https://www.clevelandcountryclub.org/,,,,,,
16443,Coahoma Country Club,,https://www.facebook.com/coahomacountryclub,,,,,,
16445,Colonial Country Club,"Colonial Country Club, located in Fort Worth on the southern banks of the Trinity River and near TCU, is one of the most historic golf clubs in Texas. The club was founded in 1936 by Marvin Leonard, who sought to have a north Texas club with smooth, bent grass greens (unheard of at the time, as many courses had either sand or Bermuda turf). The course was originally designed by Texan John Bredemus and Oklahoma architect Perry Maxwell, who formally worked with Dr. Alister Mackenzie. Holes no. 3-5 are nicknamed the “Horrible Horseshoe” and represent the strongest stretch on the course, featuring a 247-yard par-3 4th hole bookended by long and demanding par 4s. Colonial Country Club hosted the 1941 U.S. Open, won by Craig Wood and was the first time the event was staged in Texas. Despite now playing over 7,200 yards, Colonial maintains a reputation to this day as a ball-striker’s playground. Ben Hogan won the Colonial golf tournament five times. Other multiple winners of this longstanding PGA Tour event include Lee Trevino, Billy Casper, Nick Price and Ben Crenshaw.",https://www.colonialgolfclub.com/,,,,,,
16446,Columbia Country Club,,,,,,,,
16447,Columbus Country Club,,http://www.columbuscountryclub.com/,,,,,,
16450,Cottonwoods Golf Club,,https://www.cottonwoodgolfclub.com/,,,,,,
16451,Country Club Of Jackson -Azalea,,https://www.ccjackson.com/,,,,,,
16452,Black Bear Golf Resort,,,,,,,,
16454,Dancing Rabbit Golf Club -Azaleas,,https://www.dancingrabbitgolf.com/,,,,,,
16456,Deerfield Course,,https://www.glenarbour.com/,,,,,,
16458,Anaconda Country Club,,http://golfanaconda.com/,,,,,,
16459,Beaver Creek Golf Course,,http://www.golfthebeaver.com/,,,,,,
16461,Big Sky Golf Club & Summer Resort,,,,,,,,
16463,"Briarwood Country Club, The",,https://thebriarwoodgc.com/,,,,,,
16464,Diamondhead Country Club -Cardinal,"The 18-hole Cardinal at Diamondhead Country Club, half of a 36-hole layout on the property, is a semi-private course that opened in 1979.Designed by Earl Stone, the golf course measures 6,831 yards from the longest tees and has a slope rating of 132 and a 72.7 USGA rating. The course features four sets of tees for different skill levels.The major challenges for both golf courses are their tree-lined fairways. The Cardinal Course is wooded and was built on gently rolling terrain. It has no parallel fairways and extra-long sand bunkers.",https://diamondheadms.org/,,,,,,
16467,Butte Country Club,,http://buttecountryclub.org/,,,,,,
16468,Cabinet View Country Club,,https://www.golflibby.com/,,,,,,
16474,Cut Bank Golf & Country Club,,https://www.facebook.com/CutBankGolfAndCountryClub,,,,,,
16475,Deer Park Golf Course,,https://www.golfdeerpark.com/,,,,,,
16476,Double Arrow Resort,,https://doublearrowresort.com/,,,,,,
16479,Fairmont Hot Springs Resort,,https://fairmontmontana.com/,,,,,,
16481,Fort Custer Golf Club,,http://fortcustergolfcourse.com/,,,,,,
16483,Glacier View Golf Club,,https://www.glacierviewgolf.com/,,,,,,
16485,Green Meadow Country Club,,https://www.greenmeadowcountryclub.com/,,,,,,
16489,Dixie Golf Club,,https://www.dixiegolf.net/,,,,,,
16491,"Highlands Golf Club, The",,,,,,,,
16492,Hilands Golf Club,,https://www.hilandsgolfclub.com/,,,,,,
16498,Lakeview Country Club,,,,,,,,
16500,Laurel Golf Club,,https://laurelgolfclub.com/,,,,,,
16503,Livingston Golf & Country Club,,https://www.livingstongolfcourse.com/,,,,,,
16505,Marias Valley Golf & Country Club,,https://mvgcc.com/,,,,,,
16506,Meadow Lake Golf Resort,,https://meadowlakegolf.com/,,,,,,
16507,Meadow Lark Country Club,,https://www.meadowlarkclub.com/,,,,,,
16508,Miles City Town & Country Club,,https://www.milescitytcc.com/,,,,,,
16509,Mission Mountain Country Club,,,,,,,,
16510,Missoula Country Club,,https://www.missoulacountryclub.com/,,,,,,
16511,Drew Country Club,,,,,,,,
16517,Pine Meadows Golf Club,,https://www.pinemeadowsgolf.com/,,,,,,
16519,Plentywood Golf Club,,https://plentywoodgolfclub.com/,,,,,,
16521,Pondera Golf Club,,,,,,,,
16522,Pryor Creek Golf Club -North/West,,,,,,,,
16527,Riverside Country Club,,https://riversidenm.com/,,,,,,
16530,Sidney Country Club,,https://www.sidneycountryclub.com/,,,,,,
16531,Signal Point Golf Club,,https://www.signalpointfortbenton.com/,,,,,,
16532,Sleeping Buffalo Resort,,,,,,,,
16533,Stillwater Golf Course,,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsites%2Fsystem%2Ferrors%2FWebspaceNotFound%3Fpath%3D%2Fstillwatergolfcolumbus&followup=https%3A%2F%2Fsites.google.com%2Fsite%2Fsites%2Fsystem%2Ferrors%2FWebspaceNotFound%3Fpath%3D%2Fstillwatergolfcolumbus&ifkv=AeZLP99vTlVduWEJ55-YdWrXN0_gobZvjYyC3P5XcfHq_1RO1PjNrX5fKTe0GlmrPoOBST67za3BRA&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S858223301%3A1736292058825814,,,,,,
16534,Stock Farm,,https://stockfarm.com/,,,,,,
16535,Sunnyside Golf & Country Club,,https://www.facebook.com/sunnysidecc,,,,,,
16539,Valley View Golf Club,,https://www.valleyviewgolfclub.org/,,,,,,
16542,Whitetail Golf Course,,https://www.facebook.com/whitetailgolfcourse,,,,,,
16545,Yellowstone Country Club,,https://yellowstonecc.com/,,,,,,
16547,Albion Country Club,,https://albioncountryclub.com/,,,,,,
16549,Antelope Country Club,,https://www.facebook.com/flagsjr,,,,,,
16552,Arrowhead Meadows,,http://www.curtis-ne.com/arrowheadgolfcourse.php,,,,,,
16553,Ashland Country Club,,https://www.facebook.com/ashlandksgolfcourse,,,,,,
16555,Auburn Country Club,,,,,,,,
16556,Aurora Country Club,,https://www.acccountryclub.com/,,,,,,
16557,Bassett Country Club,,https://www.facebook.com/BassettCountryClub/,,,,,,
16559,Beatrice Country Club,,https://www.beatricecc.com/,,,,,,
16561,Broken Bow Country Club,,https://brokenbowcountryclub.com/,,,,,,
16566,"Champions Club, The","The Champions Club at Summerfield is an 18-hole championship course ingeniously routed through a briny wetland three miles from the Atlantic. This Tom Fazio design meanders through natural marshes and vegetation. Its 6,800 yards from the tips and each hole features multiple tees for players of all skill level.Summerfield has received a commendation from the Audubon Society. You will encounter plenty of birds and wild life at this environmentally sensitive course.",https://www.thechampionsclubgolf.com/,,,,,,
16570,College Heights Country Club,,https://collegeheightscc.com/,,,,,,
16571,"Country Club Of Lincoln, The",,https://www.ccl.cc/,,,,,,
16575,Elm Lake Golf Course,,https://www.elmlakegolfcourse.com/,,,,,,
16576,Cozad Country Club,,http://www.cozadcountryclub.net/,,,,,,
16577,Crofton Lakeview Golf Course,,https://croftonlakeview.com/,,,,,,
16578,Crooked Creek Country Club,,https://www.facebook.com/CrookedCreekCC,,,,,,
16579,David City Golf Course,,https://davidcitygolfclub.com/,,,,,,
16583,Eldorado Hills Golf Club,,https://www.eldogolf.com/lander,,,,,,
16586,Fernwood Country Club,,https://www.fernwoodcc.com/,,,,,,
16587,Elkhorn Valley Golf Course,,https://www.elkhornvalleygolfclub.com/,,,,,,
16588,Elks Country Club,,http://www.elksclubportsmouth.com/,,,,,,
16592,Evergreen Hill Golf Course,,,,,,,,
16593,Fairbury Country Club,,https://www.fairburycountryclub.com/,,,,,,
16594,Fairplay Golf Club,,,,,,,,
16595,Falls City Country Club,,https://www.facebook.com/FallsCityGolf/,,,,,,
16596,Field Club Of Omaha,,https://www.fcomaha.com/,,,,,,
16597,Firethorn Golf Club,,https://www.firethorngolfclub.com/,,,,,,
16598,Forest Country Club,,,,,,,,
16600,Fontenelle Hills Country Club,,,,,,,,
16603,Franklin Golf Club,,http://franklinnegolf.com/,,,,,,
16605,Fremont Golf Club,,https://www.fremontgolfclub.org/,,,,,,
16606,Friend Country Club,,https://friendcountryclub.com/,,,,,,
16607,Gibbon Valley View Golf Club,,https://cityofgibbon.org/recreation/golf-course,,,,,,
16608,Gordon Golf & Country Club,,,,,,,,
16610,Fulton Country Club,,,,,,,,
16614,Happy Hollow Club,,https://www.happyhollowclub.com/,,,,,,
16616,Hebron Country Club,,https://www.facebook.com/hebroncountryclub,,,,,,
16618,George County Country Club,,,,,,,,
16619,Hidden Acres Golf Course,,https://www.hiddenacresgolfcourse.com/,,,,,,
16620,Hidden Hills Country Club,,https://hiddenhillscountryclub.com/,,,,,,
16623,Hillcrest Country Club,,https://www.hillcrestok.com/,,,,,,
16625,Hilltop Country Club,"Playing under 2,700 yards, this 9-hole, semi-private track is a short course with tight, tree-lined fairways and small greens covered by bunkers. The design features many friendly holes, including the opening 420-yard par 5, and the 280-yard, par 4 finisher. Three par 3s are squeezed in between, two of which are barely over 100 yards. The feature hole is the “long” par 4 No. 7, which might require a longer iron into the small green if your drive is not solid.Two sets of tees make for an 18-hole round.Getting there : From Tyler, take Hwy. 110 south through the town of Whitehouse all the way to Troup. Turn left on Hwy. 135 and drive to the Troup High School. The course is 1 mile behind the high school.",,,,,,,
16627,Holdrege Country Club,,https://www.facebook.com/HoldregeCC/,,,,,,
16632,Indian Trails Country Club,,https://www.indiantrailsclub.com/,,,,,,
16637,Iron Horse Golf Course -Regulation,,,,,,,,
16638,Ironwood Golf & Country Club,,https://www.ironwoodgolf.com/,,,,,,
16641,Kearney Country Club,,https://kearneycountryclub.com/,,,,,,
16642,Kelly's Country Club,,,,,,,,
16644,"Knolls Country Club, The",,,,,,,,
16648,Lake Maloney Golf Course,,https://lakemaloneygolf.com/,,,,,,
16649,Lakeside Country Club,,https://www.godaddy.com/forsale/thelakesidecc.com?utm_source=TDFS_BINNS&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns_base&traffic_type=TDFS_BINNS&traffic_id=binns&,,,,,,
16652,Lochland Country Club,,https://www.lochlandcc.com/web/pages/home,,,,,,
16654,Loup City Golf Club,,https://www.loupcity.com/,,,,,,
16660,Minden Country Club,,https://www.facebook.com/MindenCountryClub,,,,,,
16663,Mullen Golf Club,,,,,,,,
16665,Norfolk Country Club,,https://norfolkcountryclub.com/,,,,,,
16668,North Platte Country Club,,,,,,,,
16669,Northridge Country Club,,http://www.northridgecountryclub.net/,,,,,,
16672,Oak Hills Country Club,"""Oak Hills is classic golf architecture at its finest,"" says Carl Bielstein, La Cantera's director of golf, about Oak Hills Country Club's heritage and its noted architect, A.W. Tillinghast. Built in 1921, Oak Hills Country Club compares favorably to the architect's other famed courses: Winged Foot, Baltusrol and Bethpage Black. Bielstein said he believes Tillinghast noted the elevation and the abundance of trees when he created the golf course in 1921. ""Golf architects of that era took advantage of the natural landscape to develop a new course, Bielstein says about the man who many consider the dean of golf course architects.Oak Hills Country Club members say the golf course returned to its original design thanks to the 1984 work of golf architect Jay Morrish. Morrish convinced the Oak Hills CC membership, most notably its greens committee, to return Oak Hills to Tillinghast's original vision for the course in 1984. Plenty of water and mature oak trees are ever present on the golf course.",https://www.oakhillscc.com/,,,,,,
16673,Oakland Golf Club,,https://www.golfatoakland.com/,,,,,,
16674,Green Oaks Golf Club,,http://greenoaksgolfcourse.com/,,,,,,
16675,Ogallala Country Club,,,,,,,,
16676,Omaha Country Club,,https://www.omahacc.org/,,,,,,
16678,Oshkosh Country Club,,https://oshkoshcountryclub.com/,,,,,,
16680,Pawnee Hills Golf Club,,https://www.pawneehillsfullerton.com/,,,,,,
16682,Pine Lake Golf & Tennis Club,,https://www.lincolnpinelakegolf.com/lander,,,,,,
16683,"Pines Country Club, The",,https://www.pinescountryclub.com/,,,,,,
16685,Plainview Country Club,"Plainview Country Club is a short 18-hole course featuring tree-lined fairways and small greens, which have been expanded recently. A few small streams and ponds come into play on this course, which is otherwise void of major difficulty. Locals rave about the staff’s commitment to improve the course and generally enhance the overall golf experience with their friendly demeanor.The front nine has only one par 5, the opening hole, so there is the legitimate opportunity to start out with a birdie on this short 460-yard hole. The signature hole is No. 12, a 396-yard par 4.Getting there : From I-27 driving north, take Exit 49 and turn east onto Hwy/ 70. Turn south on Canyon St. and it will lead you directly to the course.",https://plainviewcc.com/,,,,,,
16686,Platteview Country Club,,https://www.platteviewgc.com/,,,,,,
16687,Plattsmouth Country Club,,,,,,,,
16693,Greenville Country Club,,http://www.greenvillecountryclub.com/,,,,,,
16695,Ridgeview Country Club,,https://www.ridgeviewcountryclub.com/,,,,,,
16697,Riverside Golf Club,,,,,,,,
16702,Ryan Hill Country Club,,https://ryanhillcc.com/,,,,,,
16703,Sand Hills Golf Club,,,,,,,,
16706,Schuyler Golf Club,,https://www.facebook.com/SchuylerGolfClubNE/,,,,,,
16707,Scotts Bluff Country Club,,https://scottsbluffcountryclub.com/,,,,,,
16709,Seward Country Club,,http://sewardcountryclub.com/,,,,,,
16710,Shadow Ridge Golf Club,"Shadow Ridge Golf Club has a strong following among locals of Kelowna, but it is also garnering a growing popularity amongst visitors. The course's superb condition make the round a pleasure to walk. The layout features a wide variety of holes, offering challenges that appeal to low and high handicappers alike. The versatile golf course is approachable enough for beginners while at the same time offering a challenge to more seasoned players. Water hazards come into play as well as several strategically placed bunkers. The willow trees scattered throughout the course also demand accuracy and a bit of thoughtful strategy. Shadow Ridge G.C. is popular not only for the excellent green conditions and inviting atmosphere, but they also offer the best value of any golf course in the Okanagan.",https://shadowridgekelowna.com/,,,,,,
16712,Skyline Woods Country Club,,,,,,,,
16714,Southern Hills Golf Course,,http://ww1.golfshgc.com/,,,,,,
16716,St. Paul Country Club,,https://www.facebook.com/stpaulcountryclub,,,,,,
16717,Steeple View Golf Course,,http://www.steepleviewgolf.com/,,,,,,
16719,Summerland Golf Club,,https://golfsummerland.com/doku.php,,,,,,
16720,Sunset Valley Country Club,,,,,,,,
16721,Superior Country Club,,https://superiorcountryclub.com/,,,,,,
16722,Syracuse Golf Course,,https://www.facebook.com/groups/108740949151683/,,,,,,
16728,Tiburon Golf Club -Red/White,,,,,,,,
16730,Twin Creek Golf Club,,https://www.facebook.com/twincreeks.pendernebraska,,,,,,
16731,Valley View Golf Club,,https://www.valleyviewgolfclub.org/,,,,,,
16732,Valley View Golf Club,,https://www.valleyviewgolfclub.org/,,,,,,
16734,Greenwood Country Club,,https://greenwoodcountryclub.com/,,,,,,
16736,Wayne Country Club,,https://www.waynecountryclub.org/,,,,,,
16738,Wild Horse Golf Course,,https://playwildhorse.com/,,,,,,
16739,Wilderness Ridge Golf Club -18-Hole Championship,,,,,,,,
16741,Willow Lakes Golf Course,,https://offutt55fss.com/willowlakes,,,,,,
16742,Wood River Country Club,,https://www.facebook.com/wrgolfcourse,,,,,,
16744,Yankee Hill Country Club,,http://www.yankeehillcc.com/,,,,,,
16745,York Country Club,,https://yorkcountryclub.net/,,,,,,
16746,Grenada Country Club,,https://grenadagolfclub.com/lander,,,,,,
16749,Gulf Hills Country Club,"Gulf Hills Golf Club carries you through rolling hills and velvet greens complimented by the ever present, gentle gulf breeze. Over hill and dale, through forests and streams, Jack Daray carved one of the handsomest and sportiest 18 hole golf courses in the South, offering lush fairways and well manicured greens.",https://gulfhillsgolfclub.com/,,,,,,
16753,Hattiesburg Country Club,,https://www.hattiesburgcountryclub.com/,,,,,,
16756,Hernando Hills Country Club,,http://www.hernandohillscc.com/,,,,,,
16758,Desert Inn Golf Club,,,,,,,,
16759,Hillandale Country Club,,,,,,,,
16762,Holly Springs Country Club,,,,,,,,
16763,Brookwood Golf Club,,http://www.mybrookwood.com/,,,,,,
16764,Holmes County Country Club,,,,,,,,
16765,Houston Country Club,,https://www.facebook.com/HoustonCountryClub,,,,,,
16768,Humphreys County Country Club,,,,,,,,
16769,Primm Valley Golf Club -Lakes,"Editor's Note: Course closed for business in 2024.The Lakes Course is one of two championship courses designed by Tom Fazio at Primm Valley Golf Club. It was the club's original layout before it was joined by the Desert Course a year later. As its name would imply, the Lakes Course features an intricate system of lakes and rivers weaving through the layout and coming into play on 11 holes. The layout is challenging but playable with elevation changes and strategically placed bunkers that are balanced by large greens and wide, player-friendly fairways. One of the golf course's most memorable holes is the par-5 second. This challenging 530-yard hole plays around a massive lake but with an accurate second shot, it is reachable in two. There is also water the left of the green and a bunker in front.",,,,,,,
16771,Reflection Bay Golf Club,,https://www.reflectionbaygolf.com/,,,,,,
16773,Indianola Country Club,,,,,,,,
16776,Shadow Creek Golf Course,,https://www.mgmresorts.com/en/things-to-do/shadow-creek-golf-course.html,,,,,,
16777,Iuka Country Club,,,,,,,,
16779,Kirkwood National Golf Club,,https://www.kirkwoodgolf.com/,,,,,,
16781,Lake View Golf Club,,,,,,,,
16785,Burning Tree Golf & Country Club,,,,,,,,
16786,Laurel Country Club,,https://www.laurelcountryclub.com/,,,,,,
16788,Leake Country Club,,,,,,,,
16790,Leflore County Country Club,,https://www.facebook.com/leflorecountycountryclub,,,,,,
16792,Live Oaks Golf Club,,https://www.facebook.com/LiveOaksGolf,,,,,,
16793,Louisville Country Club,,,,,,,,
16797,Canadian Lakes Country Club -Royal,,https://canadianlakes.org/,,,,,,
16799,Middlefork Country Club,,,,,,,,
16800,Millbrook Country Club,,https://www.millbrookcountryclub.com/,,,,,,
16801,Oak Hill Golf Course,,https://www.oakhillgc.com/,,,,,,
16803,Owl's Nest Golf Club,,https://www.owlsnestresort.com/,,,,,,
16807,Pine Grove Springs Country Club,,http://www.pgscc.com/,,,,,,
16808,Pine Valley Golf Links,Formerly known as Pine Valley Golf Links.,https://www.pinevalleygolfcourse.com/,,,,,,
16810,Plausawa Valley Country Club,,,,,,,,
16812,Portsmouth Country Club,,https://www.portsmouthcc.net/,,,,,,
16813,Ragged Mountain Golf Club,,,,,,,,
