id,biz_name,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
15821,Etna Acres Golf Club,,https://www.etnaacres.com/,,,,,,
15828,Lafayette Elks Country Club,,,,,,,,
15829,Lake Hills Golfers Club -Front/Back,,,,,,,,
15832,Maxinkuckee Country Club,Formerly known as East Shore Country Club.,,,,,,,
15838,Benton Golf & Country Club,,https://bentongolfandcountryclub.net/lander,,,,,,
15839,Best Western Park Mammoth Resort,,,,,,,,
15840,Boots Randolph Golf Course,Also known as Lake Barkley “Boots Randolph” Golf Course.,https://parks.ky.gov/,,,,,,
15841,Campbellsville Country Club,,https://campbellsvillecc.com/,,,,,,
15842,Dodge City Country Club,,http://dccountryclub.com/,,,,,,
15848,Green Meadow Country Club,,https://www.greenmeadowcountryclub.com/,,,,,,
15849,Henderson Country Club,,http://www.hendersoncc.org/,,,,,,
15850,Houston Oaks Golf Course,,http://www.houstonoaksgc.com/,,,,,,
15851,Mission Hills Country Club,,https://www.missionhillscc.com/,,,,,,
15853,Picadome Golf Course,,,,,,,,
15857,Terradyne Hotel & Country Club,,https://terradynecountryclub.com/,,,,,,
15861,Aviation Oaks Golf Course,,,,,,,,
15866,Ellendale Country Club,,,,,,,,
15871,"Ledges Golf Club, The",,https://ledgesgolf.com/,,,,,,
15874,Northport Golf Club,,https://northportgolfclubmaine.com/,,,,,,
15878,Rapides Golf & Country Club,,https://www.rockrivergolf.com/,,,,,,
15881,Shore Acres Golf Course At Sebasco Harbor Resort,,,,,,,,
15882,Springview Country Club,,,,,,,,
15883,Sugarloaf Golf Club & Resort,,https://www.sugarloaf.com/,,,,,,
15885,Waterville Country Club,,https://watervillecountryclub.com/,,,,,,
15886,Aberdeen Proving Ground -Ruggles,,https://aberdeen.armymwr.com/programs/ruggles-golf-course,,,,,,
15887,Andrews Afb Golf Course -East,,https://thecoursesatandrews.com/,,,,,,
15889,Annapolis Golf Club,,https://www.annapolisroyalgolf.com/,,,,,,
15890,Argyle Country Club,,https://www.clubessential.com/,,,,,,
15892,Baltimore Country Club -East,,https://www.bcc1898.com/,,,,,,
15893,"Bay Club, The -East","Formerly known as Championship at East Bay Golf Course.Timpanogos Golf Club is in Provo about 1 hour south of Salt Lake City. The course is located on the Novell/Word Perfect campus which explains why there is an executive course in addition to the regular 18 hole course.One word describes the hazards at Timpanogos -- water. Water comes into play on almost every hole and there are several forced carries. This can be one of the most challenging (and frustrating) courses in the area if you're not hitting the ball straight. It's possible to empty your ball bag on this course on a bad day.Favorite holes are number 4 and number 10 (now some other number because the back nine was reordered during 1997). Number 4 is a par 4 which requires a blind tee shot over a marsh. Too short or left and you're dead in the marsh, too far right and you're either wet or are faced with a long second shot. Number 10 (maybe 12 now) is a par five that offers several ways to attack, all of them dangerous. If you go for the green in 2 you have to carry the entire length of a pond. To lay up you have to hit a narrow fairway and risk going too far through and out of bounds.",https://www.timpanogosgolf.com/,,,,,,
15894,Bay Hills Golf Club,,https://www.bayhillsgc.com/,,,,,,
15896,Bear Creek Golf Club,"Monroe's Bear Creek Golf Club is situated in the heart of Walton County. It's less than an hour from Atlanta, making it a conveniently close getaway from the hustle and bustle of the city. The course originally opened in 1990 but in 2008 it changed ownership and underwent a major renovation that elevated its conditions to rival that of any of the area's best golf courses. The bunkers were rebuilt and re-sanded and the fairways were re-conditioned. Bear Creek G.C. has always been known for its excellent greens, which have a reputation for being some of the state's finest putting surfaces. The layout measures 6,585 yards from the back tees, which may seem short but there are some ups and downs throughout that will make it feel much longer.",https://www.bearcreekmonroe.com/,,,,,,
15897,Beaver Creek Country Club,,https://beavercreekcc.com/,,,,,,
15899,Bethesda Country Club,,https://www.bethesdacountryclub.org/,,,,,,
15903,Bonnie View Country Club,,,,,,,,
15904,Bowie Golf & Country Club,,,,,,,,
15905,Brantwood Golf Club,,,,,,,,
15906,Breton Bay Golf & Country Club,,https://www.bretonbaygolf.com/,,,,,,
15907,Bretton Woods Golf Course,,https://www.bwrc.org/,,,,,,
15909,Burning Tree Club,,,,,,,,
15910,Cambridge Country Club,,https://www.thecambridgecountryclub.com/,,,,,,
15911,Caroline Country Club,,http://golfthevillages.com/championship-golf,,,,,,
15913,Cattail Creek Country Club,,https://www.cattailcreekcc.com/,,,,,,
15914,Caves Valley Golf Club,,https://www.cavesvalley.net/,,,,,,
15915,Cedar Point Golf Club,,https://www.navymwrpaxriver.com/,,,,,,
15916,Chantilly Manor Country Club,,,,,,,,
15917,Chartwell Golf & Country Club,,https://www.chartwellgcc.com/,,,,,,
15918,Chesapeake Bay Golf Club North East Course,,,,,,,,
15919,Chesapeake Hills Golf Club,,https://www.chesapeakehills.com/,,,,,,
15920,Chester River Yacht & Country Club,,https://www.crycc.org/,,,,,,
15921,Chestnut Ridge Country Club,,https://chestnutridgeatrodale.org/,,,,,,
15922,Chevy Chase Club,,https://www.chevychaseclub.org/,,,,,,
15926,Columbia Country Club,,,,,,,,
15927,Congressional Country Club -Gold,,https://www.ccclub.org/,,,,,,
15928,Country Club At Woodmore,,https://ccwoodmore.com/,,,,,,
15929,Country Club Of Maryland,,https://ccofmd.com/,,,,,,
15930,"Courses At Fort Meade, The -Parks",,,,,,,,
15931,Cove Creek Club,,http://covecreekclub.com/,,,,,,
15932,Creek Club,,http://covecreekclub.com/,,,,,,
15933,Crofton Country Club,,https://www.croftonclub.com/,,,,,,
15934,Cross Creek Golf Club,Editor's Note: Course closed for businees.,,,,,,,
15935,Cumberland Country Club,,https://www.cumberlandcc.com/,,,,,,
15936,Deer Run Golf Course,,https://www.deerrungolfcourse.ca/,,,,,,
15942,Elk's Golf Club,,http://www.easterngolfllc.com/,,,,,,
15943,Elkridge Club,,https://www.elkridgeclub.org/,,,,,,
15945,Fairway Hills Golf Club,,https://columbiaassociation.org/sports-recreation/golf/fairway-hills-golf-club/,,,,,,
15949,Fountain Head Country Club,,https://www.fhcc1924.com/,,,,,,
15950,Four Streams Golf Club,,https://www.fourstreams.com/,,,,,,
15954,Glenn Dale Country Club,,,,,,,,
15955,Golf & Country Club Of Swan Creek,,,,,,,,
15956,"Golf Club At Wisp, The",,,,,,,,
15958,Green Hill Yacht & Country Club,,https://www.greenhillcc.com/,,,,,,
15959,Dedham Country & Polo Club,,https://www.dedhamclub.org/,,,,,,
15960,Green Spring Valley Hunt Club,,https://www.gsvhc.com/,,,,,,
15966,Harbourtowne Resort Country Club,,,,,,,,
15967,Hawthorne Country Club,,https://www.thehawthornecountryclub.com/,,,,,,
15968,Hayfields Country Club,,https://www.hayfieldscc.com/,,,,,,
15970,Heritage Harbour Golf Club,"Heritage Harbour Golf Club (formerly known as Stoneybrook Golf Club at Heritage Harbour) plays through a landscape highlighted by mature, wooded wetland preserves and ponds. The golf course plays through spacious residential corridors, creating strategic risk/reward holes. At approximately 7,100 yards, multiple tees allow the golf course to be enjoyed by players of all abilities. The golfer who succeeds at challenging the hazards and angles will be rewarded with the proper angle for the next shot and an opportunity for a birdie. Designed by Arthur Hills, one of the world's top golf course designers, Heritage Harbour Golf Club is located just a half mile east of I-75 at exit 220.",https://heritageharbourgolfclub.com/,,,,,,
15971,Hobbit's Glenn Golf Club,,,,,,,,
15973,Holly Hills Country Club,,https://www.hollyhillsgolf.com/,,,,,,
15974,Hunt Valley Country Club -Red/White,,https://www.huntvalleygc.com/,,,,,,
15975,Indian Spring Country Club -Chief,,,,,,,,
15976,Kenwood Golf & Country Club,,https://www.kenwoodcc.net/,,,,,,
15978,Lakewood Country Club,,https://www.lakewoodcountryclubnj.com/,,,,,,
15981,Leisure World Golf Club,,https://leisureworldmaryland.com/,,,,,,
